name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand[k30,mean,h2,a0.3]",0.4056,0.2761,0.3538,0.225,0.125,0.6,0.5625,0.3298
"bm25+expand[k30,mean,h2,a0.5]",0.4236,0.2063,0.3367,0.225,0.0625,0.625,0.5625,0.2981
"bm25+expand[k30,mean,h2,a0.8]",0.362,0.1923,0.2941,0.2,0.125,0.55,0.4375,0.2503
"bm25+expand[k30,mean,h2,a1.2]",0.3301,0.1895,0.2739,0.175,0.125,0.5,0.3125,0.2431
"bm25+expand[k30,mean,h2,a2.0]",0.2405,0.1676,0.2113,0.1,0.125,0.4,0.25,0.1968
"bm25+expand[k30,sym,h1,a0.02]",0.3562,0.3157,0.34,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand[k30,sym,h1,a0.05]",0.3608,0.3211,0.3449,0.2,0.1875,0.6,0.5625,0.3188
"bm25+expand[k30,sym,h1,a0.1]",0.3852,0.3227,0.3602,0.225,0.1875,0.625,0.625,0.3231
"bm25+expand[k30,sym,h1,a0.2]",0.3816,0.3259,0.3593,0.225,0.1875,0.625,0.625,0.317
"bm25+expand[k30,sym,h1,a0.3]",0.4008,0.3148,0.3664,0.25,0.1875,0.6,0.5625,0.3148
"bm25+expand[k30,sym,h1,a0.5]",0.4268,0.219,0.3437,0.225,0.0625,0.6,0.625,0.2865
"bm25+expand[k30,sym,h1,a0.8]",0.3429,0.1861,0.2802,0.15,0.0625,0.575,0.5625,0.251
"bm25+expand[k30,sym,h1,a1.2]",0.2553,0.1659,0.2195,0.1,0.0625,0.475,0.4375,0.2033
"bm25+expand[k30,sym,h1,a2.0]",0.1923,0.0841,0.149,0.05,0.0,0.375,0.3125,0.1535
"bm25+expand[k30,sym,h2,a0.02]",0.3543,0.3157,0.3389,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand[k30,sym,h2,a0.05]",0.3587,0.3171,0.342,0.2,0.1875,0.625,0.5625,0.3133
"bm25+expand[k30,sym,h2,a0.1]",0.3685,0.3207,0.3494,0.2,0.1875,0.6,0.5625,0.3182
"bm25+expand[k30,sym,h2,a0.2]",0.3997,0.3192,0.3675,0.225,0.1875,0.625,0.5625,0.3343
"bm25+expand[k30,sym,h2,a0.3]",0.414,0.3144,0.3742,0.25,0.1875,0.625,0.5625,0.3383
"bm25+expand[k30,sym,h2,a0.5]",0.4406,0.2453,0.3624,0.25,0.125,0.625,0.5625,0.3288
"bm25+expand[k30,sym,h2,a0.8]",0.414,0.2095,0.3322,0.25,0.125,0.6,0.5,0.2965
"bm25+expand[k30,sym,h2,a1.2]",0.3319,0.1394,0.2549,0.125,0.0,0.55,0.4375,0.2504
"bm25+expand[k30,sym,h2,a2.0]",0.2661,0.1188,0.2072,0.075,0.0,0.525,0.4375,0.2017
"bm25+expand[k100,sum,h1,a0.02]",0.3612,0.3188,0.3443,0.2,0.1875,0.6,0.5625,0.3108
"bm25+expand[k100,sum,h1,a0.05]",0.4126,0.3241,0.3772,0.25,0.1875,0.65,0.625,0.3274
"bm25+expand[k100,sum,h1,a0.1]",0.4176,0.3247,0.3804,0.25,0.1875,0.65,0.625,0.336
"bm25+expand[k100,sum,h1,a0.2]",0.4201,0.3362,0.3866,0.25,0.1875,0.675,0.625,0.3404
"bm25+expand[k100,sum,h1,a0.3]",0.4478,0.3087,0.3921,0.25,0.125,0.675,0.625,0.3759
"bm25+expand[k100,sum,h1,a0.5]",0.4335,0.3754,0.4103,0.275,0.25,0.675,0.625,0.3906
"bm25+expand[k100,sum,h1,a0.8]",0.3911,0.3801,0.3867,0.25,0.25,0.7,0.625,0.3959
"bm25+expand[k100,sum,h1,a1.2]",0.328,0.3666,0.3435,0.2,0.25,0.625,0.5625,0.3649
"bm25+expand[k100,sum,h1,a2.0]",0.2511,0.2977,0.2697,0.15,0.1875,0.575,0.625,0.2792
"bm25+expand[k100,sum,h2,a0.02]",0.3537,0.317,0.339,0.2,0.1875,0.6,0.5625,0.3076
"bm25+expand[k100,sum,h2,a0.05]",0.3886,0.3232,0.3624,0.225,0.1875,0.625,0.625,0.3242
"bm25+expand[k100,sum,h2,a0.1]",0.3973,0.3241,0.368,0.225,0.1875,0.625,0.625,0.3344
"bm25+expand[k100,sum,h2,a0.2]",0.4163,0.36,0.3938,0.275,0.25,0.625,0.625,0.3468
"bm25+expand[k100,sum,h2,a0.3]",0.3995,0.3331,0.373,0.225,0.1875,0.65,0.625,0.3481
