name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"rrf+expand[k100,sum,h1,a2.0]",0.1774,0.2463,0.205,0.125,0.1875,0.475,0.5,0.1951
"rrf+expand[k100,sum,h2,a0.05]",0.2067,0.2651,0.2301,0.05,0.125,0.6,0.5,0.2637
"rrf+expand[k100,sum,h2,a0.1]",0.1809,0.2308,0.2009,0.05,0.125,0.45,0.375,0.2405
"rrf+expand[k100,sum,h2,a0.2]",0.1707,0.2141,0.1881,0.05,0.125,0.4,0.3125,0.2325
"rrf+expand[k100,sum,h2,a0.3]",0.1553,0.2044,0.1749,0.05,0.125,0.4,0.3125,0.2289
"rrf+expand[k100,sum,h2,a0.5]",0.1534,0.2023,0.173,0.05,0.125,0.4,0.3125,0.2239
"rrf+expand[k100,sum,h2,a0.8]",0.1532,0.1999,0.1719,0.05,0.125,0.4,0.3125,0.2166
"rrf+expand[k100,sum,h2,a1.2]",0.1507,0.1973,0.1693,0.05,0.125,0.4,0.3125,0.2145
"rrf+expand[k100,sum,h2,a2.0]",0.1376,0.1967,0.1613,0.05,0.125,0.4,0.3125,0.2103
"rrf+expand[k100,mean,h1,a0.05]",0.505,0.4516,0.4836,0.35,0.375,0.75,0.6875,0.4123
"rrf+expand[k100,mean,h1,a0.1]",0.5034,0.4327,0.4751,0.375,0.375,0.775,0.6875,0.4103
"rrf+expand[k100,mean,h1,a0.2]",0.5004,0.4294,0.472,0.375,0.375,0.75,0.6875,0.4133
"rrf+expand[k100,mean,h1,a0.3]",0.4765,0.4292,0.4576,0.35,0.375,0.725,0.6875,0.412
"rrf+expand[k100,mean,h1,a0.5]",0.4394,0.3764,0.4142,0.275,0.25,0.7,0.6875,0.3967
"rrf+expand[k100,mean,h1,a0.8]",0.3903,0.2455,0.3324,0.2,0.125,0.6,0.5,0.3265
"rrf+expand[k100,mean,h1,a1.2]",0.2979,0.2164,0.2653,0.125,0.125,0.575,0.5,0.2443
"rrf+expand[k100,mean,h1,a2.0]",0.2229,0.1119,0.1785,0.05,0.0,0.45,0.3125,0.1722
"rrf+expand[k100,mean,h2,a0.05]",0.5395,0.4404,0.4999,0.4,0.375,0.75,0.6875,0.4361
"rrf+expand[k100,mean,h2,a0.1]",0.5267,0.4423,0.493,0.4,0.375,0.75,0.6875,0.4381
"rrf+expand[k100,mean,h2,a0.2]",0.5219,0.46,0.4971,0.4,0.375,0.775,0.75,0.4512
"rrf+expand[k100,mean,h2,a0.3]",0.4747,0.4377,0.4599,0.325,0.3125,0.775,0.75,0.4339
"rrf+expand[k100,mean,h2,a0.5]",0.4616,0.391,0.4334,0.3,0.25,0.7,0.625,0.4003
"rrf+expand[k100,mean,h2,a0.8]",0.4285,0.2679,0.3643,0.225,0.125,0.625,0.5625,0.3291
"rrf+expand[k100,mean,h2,a1.2]",0.3727,0.2208,0.3119,0.15,0.0625,0.625,0.5625,0.2844
"rrf+expand[k100,mean,h2,a2.0]",0.3385,0.1923,0.28,0.15,0.0625,0.6,0.5,0.2588
"rrf+expand[k100,sym,h1,a0.05]",0.5516,0.4527,0.5121,0.4,0.375,0.75,0.6875,0.4422
"rrf+expand[k100,sym,h1,a0.1]",0.5324,0.406,0.4818,0.375,0.3125,0.75,0.6875,0.4254
"rrf+expand[k100,sym,h1,a0.2]",0.5198,0.377,0.4627,0.325,0.25,0.75,0.6875,0.4249
"rrf+expand[k100,sym,h1,a0.3]",0.5022,0.3937,0.4588,0.3,0.25,0.75,0.75,0.4341
"rrf+expand[k100,sym,h1,a0.5]",0.4876,0.4039,0.4541,0.3,0.25,0.7,0.6875,0.4481
"rrf+expand[k100,sym,h1,a0.8]",0.4456,0.3464,0.4059,0.25,0.1875,0.65,0.625,0.4178
"rrf+expand[k100,sym,h1,a1.2]",0.3746,0.2244,0.3145,0.15,0.0625,0.625,0.5625,0.3305
"rrf+expand[k100,sym,h1,a2.0]",0.3056,0.1535,0.2448,0.125,0.0625,0.575,0.4375,0.2489
"rrf+expand[k100,sym,h2,a0.05]",0.5786,0.4157,0.5135,0.4,0.3125,0.75,0.6875,0.4516
"rrf+expand[k100,sym,h2,a0.1]",0.5651,0.385,0.493,0.375,0.25,0.75,0.6875,0.4436
"rrf+expand[k100,sym,h2,a0.2]",0.5318,0.4367,0.4938,0.375,0.3125,0.775,0.75,0.4684
"rrf+expand[k100,sym,h2,a0.3]",0.4887,0.404,0.4548,0.3,0.25,0.725,0.6875,0.4516
"rrf+expand[k100,sym,h2,a0.5]",0.4817,0.382,0.4418,0.3,0.25,0.725,0.6875,0.4238
"rrf+expand[k100,sym,h2,a0.8]",0.441,0.354,0.4062,0.275,0.25,0.725,0.6875,0.3744
"rrf+expand[k100,sym,h2,a1.2]",0.4195,0.3173,0.3786,0.25,0.1875,0.7,0.6875,0.3504
"rrf+expand[k100,sym,h2,a2.0]",0.3593,0.2896,0.3314,0.2,0.1875,0.7,0.6875,0.3083
"rrf+expand_sel[k10,sum,h1,a0.05]",0.5378,0.3869,0.4774,0.35,0.25,0.775,0.6875,0.4391
"rrf+expand_sel[k10,sum,h1,a0.1]",0.5012,0.43,0.4727,0.35,0.3125,0.8,0.6875,0.4631
"rrf+expand_sel[k10,sum,h1,a0.2]",0.4411,0.4324,0.4377,0.325,0.3125,0.675,0.625,0.437
"rrf+expand_sel[k10,sum,h1,a0.3]",0.3979,0.3691,0.3864,0.25,0.25,0.625,0.5625,0.3995
"rrf+expand_sel[k10,sum,h1,a0.5]",0.3459,0.3295,0.3393,0.2,0.1875,0.6,0.5625,0.3513
"rrf+expand_sel[k10,sum,h1,a0.8]",0.2978,0.2993,0.2984,0.2,0.1875,0.525,0.5,0.3182
"rrf+expand_sel[k10,sum,h1,a1.2]",0.2117,0.2702,0.2351,0.125,0.1875,0.45,0.4375,0.2547
"rrf+expand_sel[k10,sum,h1,a2.0]",0.2011,0.2663,0.2272,0.125,0.1875,0.475,0.5,0.2526
"rrf+expand_sel[k10,sum,h2,a0.05]",0.5021,0.4252,0.4713,0.325,0.3125,0.75,0.6875,0.4721
"rrf+expand_sel[k10,sum,h2,a0.1]",0.4181,0.3822,0.4037,0.225,0.25,0.75,0.6875,0.4296
"rrf+expand_sel[k10,sum,h2,a0.2]",0.3841,0.3616,0.3751,0.225,0.25,0.75,0.6875,0.4053
"rrf+expand_sel[k10,sum,h2,a0.3]",0.3529,0.3562,0.3542,0.2,0.25,0.675,0.5625,0.3995
"rrf+expand_sel[k10,sum,h2,a0.5]",0.3536,0.3518,0.3529,0.2,0.25,0.65,0.5625,0.3826
"rrf+expand_sel[k10,sum,h2,a0.8]",0.3473,0.3453,0.3465,0.2,0.25,0.65,0.5625,0.3795
"rrf+expand_sel[k10,sum,h2,a1.2]",0.3535,0.3141,0.3377,0.175,0.1875,0.65,0.5625,0.3719
